TradeDate,SettleDate,PortNum,Shortname,Longname,TransCd,chTrans_Description,Cusip,Ticker,Units,AssetPriceB,CommissionsLoc,IssueName1,MaturityDate,MoodyRating,AssetClass,AssetSubClass,GLDateBought,GLUnitCostB,LongDescription,ExDate,PayableDate,TXNMkVB,LongGL,ShortGL,StLongGL,StShortGL,status,RecodeDate,RatePerShare,TaxCd,TaxCdDesc,Amortization,checknum,ActName,Description,TRID,OrgTRID,Fees,Numerator,Denominator,OldUnits,NewUnits,MinSecClass,DescCD,category,subcategory,RuleNum,NetAmount,RGLFlag,UnknownDesc,SortOrderKey,PortfolioType
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.2,Adam Test PRI,Adam Test PRI,8,Non-Scheduled Remittances,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,NON SCHEDULED REMITTANCE TRANSFERRED TO PORTFOLIO 6051-12-4/9.2 PAID FOR UNKNOWN TRANSFER OF INVESTMENT PROCEEDS TO PCT PARTNERS,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,767,WITHDRAWAL BY OWNER,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-155-73,,0,,,,,1,5202,Withdrawal By Owner,Non-Scheduled Remittances,1,-7086346.8,N,,2000,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.2,Adam Test PRI,Adam Test PRI,8,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENT TRANSFERRED TO PORTFOLIO 0049-02-1/4.76 PAID FOR UNKNOWN,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,635,TRANSFER FROM PORTFOLIO,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-104-65,,0,,,,,1,5702,Transfers (OUT),Transfers (out),1,-1324958.39,N,,7800,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.2,Adam Test PRI,Adam Test PRI,9,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENTS TRANSFERRED FROM PORTFOLIO 0049-02-1/4.76,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,634,TRANSFER TO PORTFOLIO,,,Adam Test,TRANSFERRED FROM PORTFOLIO ,1-8/2/24-155-72,,0,,,,,1,4602,Transfers (IN),Transfers (in),1,7853802,N,,7700,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.2,Adam Test PRI,Adam Test PRI,8,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENT TRANSFERRED TO PORTFOLIO 0049-02-1/4.2 PAID FOR UNKNOWN,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,635,TRANSFER FROM PORTFOLIO,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-155-71,,0,,,,,1,5702,Transfers (OUT),Transfers (out),1,-7853802,N,,7800,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.3,Adam Test Equity SMA INC,Adam Test Equity SMA INC,9,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENTS TRANSFERRED FROM PORTFOLIO 0049-02-1/4.2,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,634,TRANSFER TO PORTFOLIO,,,Adam Test,TRANSFERRED FROM PORTFOLIO ,1-8/2/24-104-66,,0,,,,,1,4602,Transfers (IN),Transfers (in),1,1324958.39,N,,7700,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.3,Adam Test Equity SMA INC,Adam Test Equity SMA INC,9,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENTS TRANSFERRED FROM PORTFOLIO 0049-03-1/3.76,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,634,TRANSFER TO PORTFOLIO,,,Adam Test,TRANSFERRED FROM PORTFOLIO ,1-8/2/24-104-70,,0,,,,,1,4602,Transfers (IN),Transfers (in),1,3761403.5,N,,7700,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,8,Non-Scheduled Remittances,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,NON SCHEDULED REMITTANCE TRANSFERRED TO PORTFOLIO 6051-12-4/9.2 PAID FOR UNKNOWN TRANSFER OF INVESTMENT PROCEEDS TO PCT PARTNERS,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,767,WITHDRAWAL BY OWNER,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-104-81,,0,,,,,1,5202,Withdrawal By Owner,Non-Scheduled Remittances,1,-3409952,N,,2000,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,8,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENT TRANSFERRED TO PORTFOLIO 0049-03-1/3.2 PAID FOR UNKNOWN,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,635,TRANSFER FROM PORTFOLIO,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-104-69,,0,,,,,1,5702,Transfers (OUT),Transfers (out),1,-3761403.5,N,,7800,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,8,Non-Scheduled Remittances,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,NON SCHEDULED REMITTANCE TRANSFERRED TO PORTFOLIO 6051-12-4/9.2 PAID FOR UNKNOWN TRANSFER OF INVESTMENT PROCEEDS TO PCT PARTNERS,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,767,WITHDRAWAL BY OWNER,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-104-83,,0,,,,,1,5202,Withdrawal By Owner,Non-Scheduled Remittances,1,-85316.4,N,,2000,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,9,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENTS TRANSFERRED FROM PORTFOLIO 0049-04-1/2.67,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,634,TRANSFER TO PORTFOLIO,,,Adam Test,TRANSFERRED FROM PORTFOLIO ,1-8/2/24-104-68,,0,,,,,1,4602,Transfers (IN),Transfers (in),1,91475.05,N,,7700,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,8,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENT TRANSFERRED TO PORTFOLIO 0049-04-1/2.2 PAID FOR UNKNOWN,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,635,TRANSFER FROM PORTFOLIO,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-104-67,,0,,,,,1,5702,Transfers (OUT),Transfers (out),1,-91475.05,N,,7800,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,183,Cash Dividend,64058100,BK,30,63.12,0,BANK OF NEW YORK MELLON CORP,,N/A,Equities,Financials,1/1/1900 0:00,0,BANK OF NEW YORK MELLON CORP CASH DIVIDEND 30 SHARES @ 0.47 BANK OF NEW YORK MELLON CORP REC DT 07/22/2024 PAY DT 08/02/2024 REGISTERED IN DTC - DEPOSITORY TRUST COMPANY,7/22/2024 0:00,8/2/2024 0:00,0,0,0,0,0,Original,7/22/2024 0:00,0.47,5,ORDINARY QUALIFYING DIVIDENDS,,,Adam Test,BANK OF NEW YORK MELLON CORP,1-8/2/24-22-1,,0,,,,,3,183,Income,Cash Dividend,1,14.1,N,,1600,Income
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,183,Cash Dividend,690742101,OC,5,169.68,0,OWENS CORNING,,N/A,Equities,Basic Industries,1/1/1900 0:00,0,OWENS CORNING CASH DIVIDEND 5 SHARES @ 0.6 OWENS CORNING REC DT 07/15/2024 PAY DT 08/02/2024 REGISTERED IN DTC - DEPOSITORY TRUST COMPANY,7/15/2024 0:00,8/2/2024 0:00,0,0,0,0,0,Original,7/15/2024 0:00,0.6,5,ORDINARY QUALIFYING DIVIDENDS,,,Adam Test,OWENS CORNING,1-8/2/24-19-4,,0,,,,,3,183,Income,Cash Dividend,1,3,N,,1600,Income
7/31/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,354,Reinvestments,56063N881,MHYSX,143.197,5.18,0,MAINSTAY MACKAY HIGH YIELD CORPORATE BD,,N/A,Fixed Income,Other Taxable Bond Mutual Funds,1/1/1900 0:00,5.179997,MAINSTAY MACKAY HIGH YIELD CORPORATE BD CASH DIVIDEND REINVESTMENT 143.197 SHARES MAINSTAY MACKAY HIGH YIELD CORPORATE BD TRADE 07/31/2024 TRADE REF # 08/02/2024-781-3,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,2,NO TAX EFFECT,,,Adam Test,MAINSTAY MACKAY HIGH YIELD CORPORATE BD,1-8/2/24-74-4439,,0,,,,,96,354,Purchases,Reinvestments,0,-741.76,N,,200,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,183,Cash Dividend,56063N881,MHYSX,27677.743,5.17,0,MAINSTAY MACKAY HIGH YIELD CORPORATE BD,,N/A,Fixed Income,Other Taxable Bond Mutual Funds,1/1/1900 0:00,0,"MAINSTAY MACKAY HIGH YIELD CORPORATE BD CASH DIVIDEND 27,677.743 SHARES @ 0.0268 MAINSTAY MACKAY HIGH YIELD CORPORATE BD CASH: 741.76 REC DT 07/30/2024 PAY DT 07/31/2024 REGISTERED IN FIDELITY OMNIBUS REINVEST/REINVEST THIS IS A MEMO POST TRANSACTION",7/31/2024 0:00,7/31/2024 0:00,0,0,0,0,0,Original,7/30/2024 0:00,0.0268,183,NON-QUALIFYING DIVIDEND,,,Adam Test,MAINSTAY MACKAY HIGH YIELD CORPORATE BD,1-8/2/24-74-3431,,0,,,,,96,161,Income,Cash Dividend,1,741.76,N,,1600,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,183,Cash Dividend,236363206,DNKEY,36,14.588,0,DANSKE BK,,N/A,Equities,Financials,1/1/1900 0:00,0,DANSKE BK CASH DIVIDEND 36 SHARES @ 0.5430939 DANSKE BK REC DT 07/29/2024 PAY DT 08/01/2024 GROSS AMT                        19.55 LESS NRT W/H AT SOURCE 5.28 LESS CORP ACT FEE      0.36 REGISTERED IN DTC - DEPOSITORY TRUST COMPANY,7/29/2024 0:00,8/1/2024 0:00,0,0,0,0,0,Original,7/29/2024 0:00,0.543094,3,FOREIGN DIVIDENDS,,,Adam Test,DANSKE BK,1-8/2/24-62-33,,0,,,,,271,183,Income,Cash Dividend,1,13.91,N,,1600,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,9,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENTS TRANSFERRED FROM PORTFOLIO 0049-09-1/7.74,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,634,TRANSFER TO PORTFOLIO,,,Adam Test,TRANSFERRED FROM PORTFOLIO ,1-8/2/24-104-72,,0,,,,,1,4602,Transfers (IN),Transfers (in),1,2265422.37,N,,7700,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,8,Non-Scheduled Remittances,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,NON SCHEDULED REMITTANCE TRANSFERRED TO PORTFOLIO 6051-12-4/9.2 PAID FOR UNKNOWN TRANSFER OF INVESTMENT PROCEEDS TO PCT PARTNERS,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,767,WITHDRAWAL BY OWNER,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-104-87,,0,,,,,1,5202,Withdrawal By Owner,Non-Scheduled Remittances,1,-2105620.4,N,,2000,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,8,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENT TRANSFERRED TO PORTFOLIO 0049-09-1/7.2 PAID FOR UNKNOWN,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,635,TRANSFER FROM PORTFOLIO,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-104-71,,0,,,,,1,5702,Transfers (OUT),Transfers (out),1,-2265422.37,N,,7800,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,9,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENTS TRANSFERRED FROM PORTFOLIO 0049-10-1/4.76,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,634,TRANSFER TO PORTFOLIO,,,Adam Test,TRANSFERRED FROM PORTFOLIO ,1-8/2/24-104-74,,0,,,,,1,4602,Transfers (IN),Transfers (in),1,4546002.5,N,,7700,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,8,Non-Scheduled Remittances,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,NON SCHEDULED REMITTANCE TRANSFERRED TO PORTFOLIO 6051-12-4/9.2 PAID FOR UNKNOWN TRANSFER OF INVESTMENT PROCEEDS TO PCT PARTNERS,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,767,WITHDRAWAL BY OWNER,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-104-85,,0,,,,,1,5202,Withdrawal By Owner,Non-Scheduled Remittances,1,-4356788.8,N,,2000,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,8,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENT TRANSFERRED TO PORTFOLIO 0049-10-1/4.2 PAID FOR UNKNOWN,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,635,TRANSFER FROM PORTFOLIO,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-104-73,,0,,,,,1,5702,Transfers (OUT),Transfers (out),1,-4546002.5,N,,7800,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,183,Cash Dividend,24527400,ABCIX,23894.982,22.4,0,AMERICAN BEACON LONDON INCOME EQUITY,,N/A,Equities,Other Equity,1/1/1900 0:00,0,"AMERICAN BEACON LONDON INCOME EQUITY CASH DIVIDEND 23,894.982 SHARES @ 0.0251 AMERICAN BEACON LONDON INCOME EQUITY REC DT 07/31/2024 PAY DT 08/02/2024 REGISTERED IN FIDELITY OMNIBUS CASH/REINVEST",8/1/2024 0:00,8/2/2024 0:00,0,0,0,0,0,Original,7/31/2024 0:00,0.0251,5,ORDINARY QUALIFYING DIVIDENDS,,,Adam Test,AMERICAN BEACON LONDON INCOME EQUITY,1-8/2/24-74-2,,0,,,,,92,183,Income,Cash Dividend,1,599.76,N,,1600,Income
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,183,Cash Dividend,24527400,ABCIX,10106.988,22.4,0,AMERICAN BEACON LONDON INCOME EQUITY,,N/A,Equities,Other Equity,1/1/1900 0:00,0,"AMERICAN BEACON LONDON INCOME EQUITY CASH DIVIDEND 10,106.988 SHARES @ 0.0251 AMERICAN BEACON LONDON INCOME EQUITY REC DT 07/31/2024 PAY DT 08/02/2024 REGISTERED IN FIDELITY OMNIBUS CASH/REINVEST",8/1/2024 0:00,8/2/2024 0:00,0,0,0,0,0,Original,7/31/2024 0:00,0.0251,5,ORDINARY QUALIFYING DIVIDENDS,,,Adam Test,AMERICAN BEACON LONDON INCOME EQUITY,1-8/2/24-74-3,,0,,,,,92,183,Income,Cash Dividend,1,253.69,N,,1600,Income
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,183,Cash Dividend,24527400,ABCIX,4255.816,22.4,0,AMERICAN BEACON LONDON INCOME EQUITY,,N/A,Equities,Other Equity,1/1/1900 0:00,0,"AMERICAN BEACON LONDON INCOME EQUITY CASH DIVIDEND 4,255.816 SHARES @ 0.0251 AMERICAN BEACON LONDON INCOME EQUITY REC DT 07/31/2024 PAY DT 08/02/2024 REGISTERED IN FIDELITY OMNIBUS CASH/REINVEST",8/1/2024 0:00,8/2/2024 0:00,0,0,0,0,0,Original,7/31/2024 0:00,0.0251,5,ORDINARY QUALIFYING DIVIDENDS,,,Adam Test,AMERICAN BEACON LONDON INCOME EQUITY,1-8/2/24-74-4,,0,,,,,92,183,Income,Cash Dividend,1,106.82,N,,1600,Income
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,183,Cash Dividend,24527400,ABCIX,4255.816,22.4,0,AMERICAN BEACON LONDON INCOME EQUITY,,N/A,Equities,Other Equity,1/1/1900 0:00,0,"AMERICAN BEACON LONDON INCOME EQUITY CASH DIVIDEND 4,255.816 SHARES @ 0.0251 AMERICAN BEACON LONDON INCOME EQUITY REC DT 07/31/2024 PAY DT 08/02/2024 REGISTERED IN FIDELITY OMNIBUS CASH/REINVEST",8/1/2024 0:00,8/2/2024 0:00,0,0,0,0,0,Original,7/31/2024 0:00,0.0251,5,ORDINARY QUALIFYING DIVIDENDS,,,Adam Test,AMERICAN BEACON LONDON INCOME EQUITY,1-8/2/24-74-5,,0,,,,,92,183,Income,Cash Dividend,1,106.82,N,,1600,Income
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,Adam Test Equity SMA PRI,183,Cash Dividend,690742101,OC,90,169.68,0,OWENS CORNING,,N/A,Equities,Basic Industries,1/1/1900 0:00,0,OWENS CORNING CASH DIVIDEND 90 SHARES @ 0.6 OWENS CORNING REC DT 07/15/2024 PAY DT 08/02/2024 REGISTERED IN DTC - DEPOSITORY TRUST COMPANY,7/15/2024 0:00,8/2/2024 0:00,0,0,0,0,0,Original,7/15/2024 0:00,0.6,5,ORDINARY QUALIFYING DIVIDENDS,,,Adam Test,OWENS CORNING,1-8/2/24-19-5,,0,,,,,3,183,Income,Cash Dividend,1,54,N,,1600,Income
